,ID,ind_ppp_UNadj,aged,young,sexratio,percaay,deprived,nophone,noSanitation,nodrinkingWater,totLivestock,x,y,yr
18803,18803,2,0,0,924,NA,0,1,0,0,NA,95.28127021,27.10365007,2022
18804,18804,2,0,0,924,NA,0,1,1,0,1,95.08810354,27.04937578,2022
18805,18805,4,0,0,924,NA,1,2,1,0,1,95.03263182,27.06387167,2022
18806,18806,3,0,0,924,NA,0,1,1,0,1,95.09834773,27.05983019,2022
18807,18807,2,0,0,924,NA,0,1,0,0,1,95.10056809,27.00951255,2022
18808,18808,3,0,0,924,NA,0,1,1,0,1,94.99024998,26.98750176,2022
18809,18809,4,0,0,924,NA,1,2,1,0,1,94.95255959,27.04339259,2022
18810,18810,2,0,0,924,NA,0,1,0,0,NA,95.14904581,27.06699646,2022
18811,18811,5,0,0,924,NA,1,2,1,0,1,94.95225043,27.02075818,2022
18812,18812,4,0,0,924,NA,1,2,1,0,1,95.15269544,27.0779927,2022
18813,18813,3,0,0,924,NA,0,1,1,0,1,95.0878418,26.99934367,2022
18814,18814,2,0,0,924,NA,0,1,0,0,NA,95.1610144,27.05974121,2022
18815,18815,6,0,1,924,1,1,3,1,0,2,95.04465007,27.02960527,2022
18816,18816,5,0,0,924,NA,1,2,1,0,1,94.94110877,27.02492205,2022
18817,18817,5,0,1,924,1,1,2,1,0,1,95.00312025,27.01993116,2022
18818,18818,4,0,0,924,NA,0,2,1,0,1,94.95447688,27.03524716,2022
18819,18819,3,0,0,924,NA,0,1,1,0,1,95.12098282,27.00492483,2022
18820,18820,4,0,0,924,NA,1,2,1,0,1,94.95439129,27.03293574,2022
18821,18821,6,0,1,924,1,1,3,1,0,2,94.9756081,27.00786619,2022
18822,18822,5,0,0,924,1,1,2,1,0,1,94.98729202,27.012099,2022
18823,18823,4,0,0,924,NA,0,2,1,0,1,95.06538623,27.08932672,2022
18824,18824,5,0,0,924,NA,1,2,1,0,1,94.96067981,27.01099889,2022
18825,18825,4,0,0,924,NA,1,2,1,0,1,95.02706525,26.99753987,2022
18826,18826,4,0,0,924,NA,1,2,1,0,1,95.07210394,27.02907588,2022
18827,18827,3,0,0,924,NA,0,1,1,0,1,95.07764072,27.01342033,2022
18828,18828,4,0,0,924,NA,0,2,1,0,1,94.94685239,26.96996416,2022
18829,18829,6,0,1,924,1,1,2,1,0,2,95.06419355,27.03204632,2022
18830,18830,4,0,0,924,NA,1,2,1,0,1,94.98377015,27.01778278,2022
18831,18831,5,0,0,924,1,1,2,1,0,1,94.99456389,27.01668729,2022
18832,18832,9,1,1,924,1,1,4,2,0,2,94.95012428,26.99445934,2022
18833,18833,4,0,0,924,NA,1,2,1,0,1,94.96109514,26.99945788,2022
18834,18834,4,0,0,924,NA,1,2,1,0,1,94.93180513,27.00654298,2022
18835,18835,4,0,0,924,NA,0,2,1,0,1,94.93897296,26.99573977,2022
18836,18836,3,0,0,924,NA,0,2,1,0,1,95.05642747,27.08106735,2022
18837,18837,4,0,0,924,NA,1,2,1,0,1,95.037776,27.06111314,2022
18838,18838,5,0,0,924,NA,1,2,1,0,1,95.05178794,27.05682049,2022
18839,18839,3,0,0,924,NA,0,1,1,0,1,95.04385273,27.0475562,2022
18840,18840,5,0,1,924,1,1,2,1,0,2,95.03118251,27.04975628,2022
18841,18841,4,0,0,924,NA,1,2,1,0,1,95.0237143,27.05639723,2022
18842,18842,5,0,0,924,NA,1,2,1,0,1,95.03596757,27.05185599,2022
18843,18843,2,0,0,924,NA,0,1,1,0,1,95.08922202,27.00095212,2022
18844,18844,5,0,1,924,NA,1,2,1,0,2,94.96689531,27.00926431,2022
18845,18845,4,0,0,924,NA,0,1,1,0,14,94.74062793,26.82973208,2022
18846,18846,5,0,1,924,1,1,2,1,0,17,94.69165832,26.8977812,2022
18847,18847,5,0,0,924,NA,0,2,1,0,15,94.74039996,26.79667885,2022
18848,18848,3,0,0,909,NA,0,2,0,2,2,92.99826837,25.78652372,2022
18849,18849,4,0,0,924,NA,0,1,1,0,13,94.89120058,26.95462719,2022
18850,18850,5,0,0,924,1,1,2,1,0,1,95.03091738,27.01868888,2022
18851,18851,5,0,0,924,1,1,2,1,0,16,94.71267002,26.91065896,2022
18852,18852,5,0,0,924,1,0,1,1,0,14,94.71627001,26.91921764,2022
18853,18853,5,0,0,924,NA,0,2,1,0,15,94.82128536,26.9203451,2022
18854,18854,5,0,0,924,NA,1,2,1,0,16,94.78481975,26.89890469,2022
18855,18855,4,0,0,924,NA,0,1,1,0,14,94.75475952,26.85437351,2022
18856,18856,3,0,0,924,NA,0,1,1,0,11,94.75951798,26.90455319,2022
18857,18857,4,0,0,924,NA,0,1,1,0,12,94.74462067,26.90366931,2022
18858,18858,3,0,0,924,NA,0,1,1,0,11,94.71517735,26.93462248,2022
18859,18859,7,0,1,924,1,1,2,1,0,21,94.67676959,26.80726255,2022
18860,18860,1,0,0,924,NA,0,0,0,0,2,94.79221023,26.81804849,2022
18861,18861,4,0,0,924,NA,0,1,1,0,13,94.6554114,26.91687553,2022
18862,18862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.71520013,26.91703655,2022
