municipal_loss_id,disaster_id,department_id,district_id,status,entry_by,entry_date,ip_addr,RecordStatus,Roadlength,detailsremovalofdebris,Electricpoles,electricwires,internalwatersupply,streetlights,nameofbuilding,municipalname,ULB,type,updated_by,incidentdate,district_name,ulb_id,ulb_name,ulb_name_original,district_best,district_alternative,subdistrict_best,subdistrict_alternative,tehsil_best,tehsil_best_object_id,tehsil_alt,tehsil_alt_object_id
81,5858,35,18,Active,2077,2020-10-14 16:19:42.970,103.210.32.152,1,0.1,DAMAGE OF NALLAH NEAR AMRIT LAL HOUSE WN 4 OLD CMO ROAD,0,0,0.0,0,0,2,33,2,,28-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
82,5859,35,18,Active,2077,2020-10-14 16:21:20.447,103.210.32.152,1,0.05,DAMAGE OF KUHAL FROM PARVEN THAPA TO VIJAY CHAKI HOUSE W.NO.13,0,0,0.0,0,0,2,33,2,,31-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
83,5858,35,18,Active,2077,2020-10-14 16:23:09.790,103.210.32.152,1,0.1,DAMAGE OF KUHL NEAR ROSHAN LAL HOUSE W.N. 5,0,0,0.0,0,0,2,33,2,,28-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
84,5859,35,18,Active,2077,2020-10-14 16:26:13.493,103.210.32.152,1,0.07,DAMAGE OF KUHAL PYARE LAL HOUSE TO BHHARI LAL ZAMEEN  W.NO 13,0,0,0.0,0,0,2,33,2,,31-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
85,5858,35,18,Active,2077,2020-10-14 16:29:33.703,103.210.32.152,1,0.2,DAMAGE OF NALLAH FROM ROSHAN LAL HOUSE TO CHANKA HOUSE,0,0,0.0,0,0,2,33,2,,28-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
86,5858,35,18,Active,2077,2020-10-14 16:31:37.260,103.210.32.152,1,0.1,DAMAGE OF KUHL NEAR GAMRU VILLAGE SCHOOL ,0,0,0.0,0,0,2,33,2,,28-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
87,5859,35,18,Active,2077,2020-10-14 16:32:57.813,103.210.32.152,1,0.05,DAMAGE OF CULVERT ROAD R/WALL FROM SUDESH HOUSE NEAR GOVT SCHOOL KANDI W.NO 14,0,0,0.0,0,0,2,33,2,,31-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
88,5858,35,18,Active,2077,2020-10-14 16:33:08.973,103.210.32.152,1,0.12,DAMAGE OF KUHL AND BREAST WALL BHIM SANT HOUSE GAMRU W.N. 5,0,0,0.0,0,0,2,33,2,,28-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
90,5858,35,18,Active,2077,2020-10-14 16:35:32.607,103.210.32.152,1,0.15,DAMAGE OF NALLAH NEAR SHYAM LAL HOUSE KHAZANCHI MOHALLA,0,0,0.0,0,0,2,33,2,,28-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
91,5859,35,18,Active,2077,2020-10-14 16:35:33.560,103.210.32.152,1,0.1,DAMAGE OF PATH AND KUHAL NEAR GOVT SCHOL W.NO 14,0,0,0.0,0,0,2,33,2,,31-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
